exp_id,lang,precision,recall,f1
exp_001_baseline_gw,es,0.0,0.0,0.0
exp_001_baseline_gw,de,0.0,0.0,0.0
exp_001_baseline_gw,it,0.0,0.0,0.0
exp_001_baseline_gw,zh,0.0,0.0,0.0
exp_001_baseline_gw,avg_macro,,,0.0
exp_001_baseline_gw,es,0.0,0.0,0.0
exp_001_baseline_gw,de,0.0,0.0,0.0
exp_001_baseline_gw,it,0.0,0.0,0.0
exp_001_baseline_gw,zh,0.0,0.0,0.0
exp_001_baseline_gw,avg_macro,,,0.0
exp_001_baseline_gw,es,0.0,0.0,0.0
exp_001_baseline_gw,de,0.0,0.0,0.0
exp_001_baseline_gw,it,0.0,0.0,0.0
exp_001_baseline_gw,zh,0.0,0.0,0.0
exp_001_baseline_gw,avg_macro,,,0.0
exp_001_baseline_gw,es,0.0,0.0,0.0
exp_001_baseline_gw,de,0.0,0.0,0.0
exp_001_baseline_gw,it,0.0,0.0,0.0
exp_001_baseline_gw,zh,0.0,0.0,0.0
exp_001_baseline_gw,avg_macro,,,0.0
exp_001_baseline_gw,es,1.0,1.0,1.0
exp_001_baseline_gw,de,1.0,1.0,1.0
exp_001_baseline_gw,it,1.0,1.0,1.0
exp_001_baseline_gw,zh,1.0,1.0,1.0
exp_001_baseline_gw,avg_macro,,,1.0
exp_001_baseline_gw,es,1.0,1.0,1.0
exp_001_baseline_gw,de,1.0,1.0,1.0
exp_001_baseline_gw,it,1.0,1.0,1.0
exp_001_baseline_gw,zh,1.0,1.0,1.0
exp_001_baseline_gw,avg_macro,,,1.0
exp_001_baseline_gw,es,0.5,0.08,0.14
exp_001_baseline_gw,de,0.5,0.08,0.14
exp_001_baseline_gw,it,0.0,0.0,0.0
exp_001_baseline_gw,zh,0.0,0.0,0.0
exp_001_baseline_gw,avg_macro,,,0.07
exp_001_baseline_gw,es,0.5,0.08,0.14
exp_001_baseline_gw,de,0.5,0.08,0.14
exp_001_baseline_gw,it,0.0,0.0,0.0
exp_001_baseline_gw,zh,0.0,0.0,0.0
exp_001_baseline_gw,avg_macro,,,0.07
exp_001_baseline_gw,es,0.5,0.08,0.14
exp_001_baseline_gw,de,0.5,0.08,0.14
exp_001_baseline_gw,it,0.5,0.08,0.14
exp_001_baseline_gw,zh,0.0,0.0,0.0
exp_001_baseline_gw,avg_macro,,,0.10500000000000001
exp_001_baseline_gw,es,0.5,0.08,0.14
exp_001_baseline_gw,de,0.5,0.08,0.14
exp_001_baseline_gw,it,0.5,0.08,0.14
exp_001_baseline_gw,zh,0.5,0.09,0.15
exp_001_baseline_gw,avg_macro,,,0.14250000000000002
exp_001_baseline_gw,es,0.5,0.08,0.14
exp_001_baseline_gw,de,0.5,0.08,0.14
exp_001_baseline_gw,it,0.5,0.08,0.14
exp_001_baseline_gw,zh,0.5,0.09,0.15
exp_001_baseline_gw,avg_macro,,,0.14250000000000002
exp_002_procrustes,es,0.5,0.08,0.14
exp_002_procrustes,de,0.5,0.08,0.14
exp_002_procrustes,it,0.5,0.08,0.14
exp_002_procrustes,zh,0.5,0.09,0.15
exp_002_procrustes,avg_macro,,,0.14250000000000002
